applicant_income,loan_amount,credit_history,debt_to_income,loan_term,employment_length,loan_to_income,approved
97435,24530.88,1,0.13294591182684146,36,8,0.25176661363986247,1
86886,24626.64,1,0.1,60,12,0.28343622677991853,1
96803,10206.24,1,0.1,36,15,0.105433096081733,1
61551,22259.13,0,0.2143223741515144,60,5,0.3616371789247941,0
146216,55508.78,1,0.1,24,12,0.379635470810308,1
41394,11157.34,0,0.26614930584689844,36,8,0.26954002995603227,0
99092,30618.96,1,0.29428713470491785,60,10,0.3089952771162152,1
33890,12768.05,0,0.10826305991349106,36,7,0.37674977869578047,0
71606,22353.36,1,0.27382604651535336,36,4,0.3121716057313633,1
117313,17099.74,1,0.2285335175118478,24,12,0.14576168029118683,1
171699,46854.34,1,0.13408263712808832,12,19,0.2728865048718979,1
38792,10939.91,0,0.40647024176217894,60,6,0.28201459063724477,0
184969,42032.21,1,0.1,24,7,0.22723921305732311,1
98148,31498.96,1,0.2946271631966014,60,10,0.3209332844275991,1
154243,58660.17,1,0.1,12,19,0.3803100951096646,1
150174,56716.3,1,0.1,24,13,0.37767056880685074,1
184555,43416.9,1,0.1,12,11,0.2352518219500962,1
154358,20679.56,1,0.1,24,16,0.13397141709532387,1
78555,31064.76,1,0.1,60,7,0.3954523582203551,1
47159,16584.38,1,0.26192807341955493,60,9,0.3516694586399203,1
140510,19305.91,1,0.1,12,18,0.1373988328232866,1
136530,51369.76,1,0.1,24,17,0.376252545228155,1
110077,39734.37,1,0.10588012498110252,12,10,0.36096886724747224,1
65920,16852.54,1,0.2768107643914431,60,1,0.255651395631068,0
49457,13718.51,0,0.20064426581437678,36,13,0.2773825747619144,0
108953,23937.06,1,0.1,12,18,0.21970078841335255,1
82995,9662.98,1,0.1,36,17,0.11642845954575576,1
39692,7960.59,0,0.16342773758800488,60,5,0.20055905472135444,0
67065,22859.51,0,0.33634762737271284,36,3,0.3408560351897413,0
129299,13109.57,1,0.1,12,14,0.10138956991160024,1
193678,38745.24,1,0.1,12,6,0.20004977333512325,1
41534,9114.66,1,0.10576234827732825,60,3,0.21945057061684403,1
70397,18389.01,1,0.1,60,9,0.2612186598860747,1
121387,45636.25,1,0.19644283584059358,12,18,0.37595665104170956,1
31016,6324.28,0,0.32951257690797875,36,6,0.20390379159143668,0
85591,17467.92,1,0.1,36,11,0.20408594361556703,1
53247,17105.62,1,0.16498680839457344,36,7,0.32125039908351644,1
54300,12796.63,0,0.1,60,4,0.23566537753222835,0
112798,18880.29,1,0.1,12,10,0.1673814252025745,1
39268,9256.72,1,0.2864376046804273,36,12,0.23573189365386574,1
116807,16616.63,1,0.1,24,11,0.14225714212333165,1
42185,6450.77,1,0.1311839755636663,60,2,0.15291620244162618,0
169643,42327.68,1,0.1,24,19,0.24951032462288453,1
68044,15356.01,1,0.3317244098624199,36,8,0.2256776497560402,1
81214,30410.89,1,0.3348740061691856,60,12,0.37445378875563323,1
144752,30212.37,1,0.1,24,10,0.20871815242621863,1
78984,21655.56,1,0.2464351693981568,36,7,0.27417654208447284,1
70774,20501.76,0,0.10714162656093729,36,3,0.28967926074547146,0
32568,3384.74,0,0.19184727449179204,36,5,0.10392839597150577,0
150151,44904.34,1,0.10140398933880906,12,7,0.29906121171354166,1
163767,25123.62,1,0.13983657285816353,12,13,0.15341076040960633,1
154375,59947.07,1,0.1716214378010194,24,16,0.3883211012145749,1
166330,24051.12,1,0.1,12,6,0.14459880959538265,1
69504,15595.81,0,0.10384046372020114,36,1,0.22438722951197052,0
194231,24396.37,1,0.1,12,6,0.12560492403375362,1
43986,17553.15,0,0.11242855330492013,60,2,0.3990622016096031,0
91858,23024.99,1,0.1419136115334071,60,5,0.2506585164057567,1
159312,44386.79,1,0.1,24,8,0.2786154840815507,1
42666,5125.17,0,0.27732042948315044,36,8,0.12012304879763747,0
68660,22313.69,1,0.1,36,7,0.3249882027381299,1
164633,26830.52,1,0.1,12,10,0.16297170069184186,1
56854,21002.79,1,0.35358763467017484,60,10,0.3694162240123826,1
94505,15266.52,1,0.1,60,5,0.1615419289984657,1
134488,21142.36,1,0.1,24,7,0.15720629349830467,1
52662,5843.63,1,0.1,36,4,0.11096483232691505,1
38392,9276.28,0,0.1,60,9,0.241620129193582,0
60535,16311.3,1,0.1,60,1,0.2694523829189725,0
143569,17187.02,1,0.1,24,9,0.11971261205413425,1
82256,27363.14,1,0.28219614180240016,60,16,0.33265828632561756,1
119135,28114.27,1,0.1,12,15,0.23598665379611367,1
157478,40521.78,1,0.16522766823011825,24,17,0.25731708556115773,1
65222,15146.43,1,0.20220491719567746,60,3,0.23222884916132594,1
107373,23646.64,1,0.1,24,12,0.22022892160971566,1
153684,41170.73,1,0.1,12,14,0.2678921032768538,1
40965,6004.33,0,0.22474935409050711,36,7,0.1465721957768827,0
54538,8430.4,0,0.2944345015029301,36,2,0.15457845905607098,0
138066,49501.59,1,0.1,24,8,0.3585357003172396,1
143252,54985.08,1,0.1,12,14,0.38383464105213194,1
169182,35865.37,1,0.11927372101330036,12,15,0.21199282429572888,1
188338,34131.25,1,0.10190660526016215,12,5,0.1812233856152237,1
128806,37765.9,1,0.19941129099458982,12,13,0.2931998509386209,1
167982,37396.2,1,0.1,12,15,0.22262028074436546,1
140989,15172.66,1,0.1301682012027527,12,11,0.10761591329820057,1
120982,17765.7,1,0.1,24,11,0.14684581177365227,1
151626,47730.6,1,0.1,24,16,0.31479165842269796,1
149176,44406.29,1,0.1,24,9,0.29767717327183996,1
161278,17438.8,1,0.1,12,11,0.1081288210419276,1
152409,25390.07,1,0.1,12,16,0.16659167109553896,1
53419,9045.04,1,0.12578787962687754,60,5,0.16932252569310546,1
80015,24129.95,1,0.28198208064797403,36,6,0.30156783103168155,1
152096,16108.97,1,0.1,24,18,0.10591317325899431,1
137059,17986.61,1,0.1,12,17,0.13123260785501134,1
140687,47830.04,1,0.1,12,8,0.33997483776041854,1
117939,18111.11,1,0.24043580820124313,24,18,0.15356336750353997,1
179213,53015.48,1,0.1,24,18,0.2958238520643034,1
135878,23296.94,1,0.1,24,11,0.17145483448387522,1
194899,25304.21,1,0.1,12,7,0.1298324260257877,1
92623,16019.3,1,0.24908437116420648,60,6,0.1729516426805437,1
105450,33393.91,1,0.1,12,14,0.3166800379326695,1
123426,44027.16,1,0.13059522298951817,24,6,0.35670895921442813,1
147845,51607.66,1,0.11275912634075469,24,17,0.34906598126416183,1
183371,40186.68,1,0.1,12,5,0.21915504632684557,1
73585,22106.81,1,0.1,60,9,0.30042549432628934,1
139225,22484.18,1,0.1719032334068229,24,16,0.16149527742862274,1
94044,17675.04,1,0.12754982109440352,36,10,0.18794436646676024,1
139556,51482.31,1,0.1,24,10,0.36890072802315915,1
32693,3396.82,0,0.2047052741750776,36,1,0.10390052916526474,0
125259,15739.11,1,0.1,12,8,0.1256525279620626,1
55939,9082.58,1,0.1,36,8,0.1623657913083895,1
182906,19746.47,1,0.1,12,10,0.10795966234021848,1
48047,7419.93,1,0.1,36,3,0.15443066164380712,1
56105,15423.96,0,0.1544163313929169,36,7,0.27491239639960785,0
105766,23948.32,1,0.1,12,14,0.22642739632774236,1
176779,65019.58,1,0.1,24,10,0.3678014922586959,1
183048,63194.22,1,0.12313526518893314,12,7,0.3452330536252786,1
74262,15041.41,0,0.1,36,9,0.20254517788370902,0
155117,27584.0,1,0.1,24,10,0.1778270595743858,1
53776,11503.1,0,0.11402500490201094,60,8,0.21390769116334424,0
191152,52966.02,1,0.1,12,5,0.2770884950196702,1
158376,28574.05,1,0.1,12,11,0.18041906602010405,1
167848,48213.44,1,0.1,12,11,0.28724464992135745,1
122787,27359.83,1,0.24116419991971413,12,14,0.22282350737455922,1
157948,41953.22,1,0.1,12,17,0.265614126168106,1
85016,19624.92,1,0.195186876721369,60,11,0.23083795991342804,1
170546,32120.59,1,0.1,12,19,0.188339744115957,1
51959,19980.11,1,0.33545215163620995,36,12,0.38453607652187305,1
166602,54825.68,1,0.1,24,15,0.329081763724325,1
149101,21177.4,1,0.1,12,14,0.14203392331372694,1
33748,12167.52,1,0.16262205360921245,60,5,0.3605404764726799,1
43545,10722.06,0,0.29795853323940513,60,1,0.24622941784361005,0
157659,58076.16,1,0.11139378660225441,12,8,0.3683656499153236,1
195838,66576.42,1,0.1,12,17,0.3399565967789704,1
103530,23559.71,1,0.1,12,11,0.22756408770404712,1
123557,13188.57,1,0.21366207869966009,24,15,0.10674077551251648,1
91087,16450.6,1,0.24050340787789576,36,13,0.18060315961663023,1
98840,25944.54,1,0.2962633611049904,36,9,0.26249028733306357,1
148451,43057.24,1,0.10479730387283237,12,17,0.29004344868003584,1
81005,14367.56,1,0.1,36,6,0.17736633541139435,1
69353,9834.73,1,0.1975491335978551,60,6,0.14180684325119317,1
82733,28996.18,1,0.19893970169892816,36,14,0.35047901079375826,1
95318,37681.17,1,0.1,60,5,0.3953206110073648,1
184736,47607.77,1,0.1,12,11,0.2577070522258791,1
97172,14721.93,1,0.18938433138904384,36,10,0.15150382826328573,1
123264,22396.11,1,0.1,24,11,0.18169222157320872,1
56736,5986.62,0,0.29878068697022286,36,11,0.10551713197969544,0
142859,53470.64,1,0.1,24,17,0.37428961423501494,1
142181,19240.69,1,0.1965267142790379,12,14,0.135325324762099,1
161926,44198.5,1,0.1,12,7,0.2729549300297667,1
120084,21881.29,1,0.1,24,19,0.18221653176110056,1
199695,53169.47,1,0.1,24,7,0.2662533864142818,1
37392,11046.57,1,0.14383996488237227,60,8,0.295426026957638,1
85680,29895.68,1,0.2144096656284969,60,17,0.348922502334267,1
80859,13093.21,1,0.24188411300877247,36,6,0.16192643985208818,1
155657,16079.17,1,0.1,24,5,0.10329872732996268,1
187381,26433.03,1,0.1,12,13,0.14106568969105726,1
100467,37173.35,1,0.10262222223642237,12,13,0.37000557396956213,1
128506,46540.64,1,0.1,12,11,0.36216705834747015,1
139751,39021.82,1,0.19366794502786894,12,11,0.27922390537455904,1
148906,41716.77,1,0.13319052794928848,12,7,0.28015506426873327,1
173760,52043.03,1,0.1,12,14,0.29951099217311233,1
55342,8445.82,1,0.275046654293999,60,9,0.15261139821473746,1
198229,74201.79,1,0.1,12,6,0.3743235853482588,1
136308,30755.33,1,0.1957818084386303,12,15,0.22563114417348945,1
136081,29249.46,1,0.1056761709013142,12,11,0.21494154216973713,1
119045,30436.87,1,0.15350242466232658,12,13,0.25567533285732286,1
64698,7381.38,0,0.31528036151493816,36,3,0.11408977093573218,0
140078,20995.59,1,0.1,24,17,0.14988499264695385,1
110623,35555.35,1,0.20158236154668124,12,18,0.3214101045894615,1
52671,6575.43,0,0.1,36,5,0.12483966509084696,0
186256,52327.81,1,0.1,24,10,0.2809456339661541,1
123384,21420.05,1,0.1,24,11,0.1736047623678921,1
116202,25191.28,1,0.2590061873556562,24,14,0.21678869554740882,1
81663,15238.98,1,0.27928888949917074,60,11,0.18660813342639873,1
45708,9447.93,1,0.2890519446361039,36,7,0.20670189025991073,1
121906,38487.4,1,0.1470107046461561,12,6,0.31571374665726054,1
79811,15095.17,1,0.1652071177610284,36,18,0.1891364598864818,1
163883,44235.53,1,0.15107026684340763,12,8,0.26992140734548425,1
86250,20942.8,1,0.12600350115294467,36,9,0.2428150724637681,1
142547,42636.0,1,0.1,12,18,0.2991013490287414,1
154249,58776.42,1,0.1,24,16,0.38104895331574273,1
64754,20706.49,0,0.2849742609044232,60,14,0.3197715971214134,0
172483,28370.37,1,0.1,12,5,0.16448212287587763,1
163983,17932.35,1,0.1,24,14,0.10935493313331258,1
169752,30331.15,1,0.1,24,7,0.17867919081954853,1
114896,32001.22,1,0.20580693108720427,12,19,0.27852336025623176,1
101295,11692.25,1,0.1,24,19,0.11542771114072758,1
130689,32529.78,1,0.12010191185162045,24,14,0.24890985469320293,1
41111,11472.14,1,0.4058808438904228,36,4,0.2790528082508331,0
67504,13519.24,0,0.14005653125928144,36,8,0.20027316899739275,0
162874,53955.87,1,0.1,12,12,0.331273683952012,1
38155,5035.68,0,0.30563840401735276,36,1,0.13197955706984668,0
69384,8502.41,0,0.28808325680623403,60,7,0.1225413640032284,0
142561,45399.5,1,0.1,12,18,0.3184566606575431,1
77254,19209.01,1,0.3323061101024585,36,15,0.2486474486757967,1
51918,15913.94,1,0.1,36,10,0.30652066720597865,1
115981,26727.61,1,0.1,24,5,0.23044817685655408,1
60306,10488.46,0,0.26676957892902003,60,12,0.1739206712433257,0
177718,61442.57,1,0.1,24,15,0.34573070820063245,1
76843,26113.15,1,0.1,36,6,0.3398247075205289,1
150975,46562.04,1,0.11805139270547255,24,14,0.30840894187779433,1
126601,22996.25,1,0.1,24,6,0.1816435099248821,1
137512,38100.34,1,0.1,24,19,0.2770692012333469,1
177443,36959.99,1,0.1,12,8,0.20829218396893648,1
141472,18034.09,1,0.163174303563565,24,6,0.1274746239538566,1
163121,61202.03,1,0.1,24,11,0.37519405839836684,1
192688,27177.79,1,0.1,24,17,0.14104557626837166,1
133727,51494.42,1,0.1,12,19,0.385071227201687,1
142893,33408.63,1,0.16277961367634175,24,13,0.2338017257668325,1
50932,7921.96,0,0.26721719768355917,60,10,0.15553993560040838,0
147796,38806.84,1,0.12308055887654895,12,16,0.2625702996021543,1
59855,21660.55,1,0.1,60,4,0.3618837189875532,1
37400,11955.56,0,0.2751496398427996,36,7,0.3196673796791444,0
147858,50562.76,1,0.1,24,14,0.34196837506256006,1
45151,13438.52,1,0.3428301507153084,36,9,0.29763504684281633,1
96690,29749.87,1,0.26905482419250426,36,15,0.30768300754990174,1
34499,12238.82,1,0.1,60,12,0.35475868865764226,1
36295,6348.01,0,0.2970179676235171,36,11,0.1749003995040639,0
150885,37242.57,1,0.1,12,9,0.24682751764588926,1
156071,25964.41,1,0.1,12,15,0.16636280923425878,1
89040,35286.59,1,0.1,36,9,0.39630042677448335,1
42183,16165.28,1,0.1383446398088565,60,2,0.3832178839816988,0
190371,21288.82,1,0.1,12,13,0.1118280620472656,1
173946,54214.19,1,0.1,24,17,0.31167253055545974,1
146336,55252.74,1,0.1,24,12,0.37757448611414823,1
62711,9668.32,0,0.26765762023611217,36,13,0.15417263319034938,0
35539,9609.16,1,0.19073295422954792,36,10,0.2703835223275838,1
156063,58468.46,1,0.1,24,12,0.3746465209562805,1
163629,18029.26,1,0.1,12,5,0.11018376938073324,1
68360,21138.69,1,0.1,36,2,0.30922600936220007,0
163272,30891.83,1,0.1,24,12,0.18920470135724438,1
51357,19377.96,1,0.2714635532887607,60,14,0.37731876861966235,1
149121,58353.65,1,0.1,24,13,0.3913174536114967,1
107505,41204.51,1,0.1,24,6,0.3832799404678852,1
32869,7962.98,0,0.18383041880512546,60,5,0.2422641394627156,0
80108,28727.75,1,0.3175634330777214,60,16,0.35861274779048286,1
142296,50282.4,1,0.1,24,18,0.35336481700118066,1
124179,24305.57,1,0.12023365946688278,12,12,0.1957301153979336,1
120272,41935.8,1,0.11236886145505595,12,13,0.34867467074630837,1
68467,7606.84,0,0.1,36,6,0.11110228285159274,0
53328,14872.16,1,0.16067754564091205,60,10,0.2788808880888089,1
121412,20518.95,1,0.15755191934532733,24,5,0.16900265212664317,1
165059,22476.09,1,0.1,24,9,0.13617003616888507,1
88871,10938.77,1,0.1,60,6,0.12308593354412577,1
183471,56671.74,1,0.1,24,18,0.30888663603512273,1
158391,31989.04,1,0.1,12,12,0.20196248524221705,1
116416,36953.93,1,0.259315496376874,12,14,0.3174299924409016,1
100271,11993.1,1,0.1,12,15,0.11960686539478015,1
74064,14411.9,0,0.159352397752238,60,13,0.19458711384748326,0
137450,35990.92,1,0.1,24,9,0.2618473626773372,1
49830,16803.52,1,0.38861061816389775,36,2,0.3372169375877985,0
178501,34919.39,1,0.1,24,11,0.19562573879137932,1
167965,48334.85,1,0.1,12,17,0.28776739201619383,1
146381,53545.19,1,0.10239199393384252,24,12,0.36579330650835834,1
77333,22021.26,1,0.22715577121097816,60,14,0.284758899822844,1
164508,27947.91,1,0.1,24,17,0.16988784739951857,1
106213,11398.8,1,0.1,12,5,0.10732019620950353,1
166967,60280.04,1,0.1,12,6,0.3610296645444908,1
180810,19234.72,1,0.1,24,14,0.10638084176760136,1
60746,22014.99,0,0.1,36,5,0.36241052908833504,0
79377,20533.33,1,0.134461879023556,36,9,0.25868110409816447,1
84045,32081.68,1,0.1,36,17,0.3817202689035636,1
127888,43435.24,1,0.1,12,6,0.3396349931189791,1
137455,54896.81,1,0.1,24,5,0.39938023353097374,1
166672,34203.35,1,0.15407093267995697,24,13,0.20521353316693866,1
123179,40668.35,1,0.1,24,18,0.33015652018607067,1
75714,16700.94,1,0.1,36,5,0.22057928520484982,1
132946,32433.86,1,0.1,12,17,0.24396266153174972,1
139616,40244.54,1,0.20133728833822645,24,19,0.2882516330506532,1
135983,49239.87,1,0.1,24,8,0.3621031305383761,1
154123,60913.27,1,0.1,24,6,0.3952250475269752,1
179661,59374.73,1,0.1,24,15,0.330482018913398,1
73484,16558.15,0,0.20249151131610643,60,3,0.22533000381035329,0
112989,25581.51,1,0.13342392804747527,12,12,0.2264070838754215,1
66212,21272.24,1,0.1,36,9,0.32127469340904974,1
73525,12619.33,0,0.1,60,5,0.17163318599115948,0
193707,25790.58,1,0.1,24,15,0.13314221995075037,1
93208,19236.89,1,0.1,36,16,0.20638668354647668,1
63828,11882.97,0,0.24275451522101898,60,3,0.18617174280879864,0
179783,33959.65,1,0.1,12,17,0.18889244255574777,1
33420,5684.15,1,0.2771629668317943,60,12,0.17008228605625372,1
126752,14275.82,1,0.1,24,15,0.11262796642262055,1
161373,17002.61,1,0.1,12,19,0.10536217334994083,1
145294,57582.44,1,0.1,24,16,0.3963167095681859,1
154019,35167.46,1,0.1384002534446766,12,9,0.22833195904401404,1
95726,20609.62,1,0.28724149156935824,60,11,0.2152980381505547,1
171564,52137.3,1,0.1,12,7,0.30389417360285376,1
145668,24104.58,1,0.1,12,14,0.16547615124804352,1
36102,13898.85,1,0.40569050351323194,60,11,0.3849883662954961,0
148015,49718.76,1,0.1,24,14,0.3359035232915583,1
56641,7183.4,0,0.3399155299319092,60,1,0.12682332585935982,0
195656,44076.26,1,0.1,24,14,0.22527425685897698,1
193817,70498.12,1,0.1,12,14,0.36373548243962084,1
184165,70612.47,1,0.1,24,18,0.3834195965574349,1
133746,32128.52,1,0.10455275417878912,12,16,0.2402204178068877,1
66631,18924.76,0,0.12999867634667928,36,1,0.28402335249358407,0
102991,15460.0,1,0.1,24,6,0.1501102038042159,1
34014,13515.48,1,0.2651424227217053,60,2,0.3973505027341683,0
41093,6965.33,0,0.11905461567184351,60,9,0.16950161828048574,0
48070,18402.13,1,0.18396169845715615,60,13,0.38281942999791974,1
65777,19397.24,1,0.3514784060335269,60,4,0.29489395989479605,1
86958,24550.07,1,0.1,60,14,0.2823210055429058,1
112074,28445.12,1,0.2117726426657707,24,7,0.25380659207309453,1
40729,6891.39,0,0.1,60,12,0.169201060669302,0
188823,28882.07,1,0.1,12,16,0.15295843197068154,1
135864,22573.24,1,0.21907478177557743,24,5,0.16614585173408705,1
160858,25082.83,1,0.1,24,16,0.15593150480548063,1
135510,45243.45,1,0.1,12,5,0.3338753597520478,1
84748,17376.52,1,0.10393711705304573,60,12,0.20503752300939257,1
35801,4201.35,1,0.1,60,7,0.1173528672383453,1
180262,70433.91,1,0.1,24,7,0.39073076965749853,1
59592,21759.17,0,0.34663546553942354,36,3,0.3651357564773795,0
40647,15377.8,1,0.19231438908350354,60,12,0.37832558368391267,1
169788,67655.82,1,0.1,12,11,0.39847233020001416,1
140627,21399.01,1,0.1,12,14,0.15216857360250877,1
100316,21956.42,1,0.18874712714000044,12,7,0.2188725627018621,1
32368,10599.6,1,0.1,36,5,0.32747157686604056,1
107575,33219.83,1,0.12063159579387889,12,8,0.30880622821287473,1
36655,5357.82,1,0.27200667395495165,36,7,0.14616887191379074,1
100031,34485.68,1,0.1550132987583742,12,9,0.344749927522468,1
117922,19732.14,1,0.1,12,10,0.16733213480097012,1
154046,25748.06,1,0.1,12,11,0.16714526829648288,1
174475,45554.08,1,0.1,24,18,0.26109230548789225,1
62097,17255.64,1,0.1,60,5,0.2778820232861491,1
172038,47142.86,1,0.10691201866179284,12,8,0.27402585475301966,1
154862,19736.55,1,0.1,24,12,0.12744604874016865,1
148834,54062.2,1,0.1,12,17,0.36323823857451926,1
123848,22253.01,1,0.1,24,10,0.17968001098120276,1
82921,11513.95,1,0.1,36,18,0.1388544518276432,1
156141,57245.1,1,0.1,12,5,0.36662439717947237,1
52677,20369.96,1,0.1,36,9,0.38669552176471705,1
85609,30702.66,1,0.1,36,13,0.3586382272891869,1
61024,20922.37,0,0.1615282066387282,60,6,0.3428547784478238,0
100313,29750.09,1,0.19246738991446607,12,10,0.29657262767537607,1
157813,41861.04,1,0.1,24,14,0.26525723482856295,1
125285,15797.94,1,0.1185786674392319,24,12,0.12609602107195594,1
176410,39257.57,1,0.1,24,17,0.22253596734878975,1
143632,30422.2,1,0.19333228407071484,12,11,0.21180656121198618,1
180580,32129.9,1,0.1,24,16,0.17792612692435486,1
33051,10478.03,0,0.35593412739826513,36,11,0.3170261111615382,0
144692,35993.98,1,0.13980952201670704,24,8,0.24876275122328811,1
117235,14573.94,1,0.2386142032531045,12,11,0.12431389943276326,1
193165,32076.01,1,0.1,12,13,0.16605497890404575,1
103523,31572.2,1,0.1,12,18,0.30497763781961496,1
124476,15290.54,1,0.1,12,15,0.12283926218708828,1
47019,16708.77,0,0.30311459746717556,36,10,0.3553620876666879,0
113613,28237.82,1,0.16794095734161021,12,14,0.24854391662925898,1
116672,28488.5,1,0.1,24,18,0.2441759805266045,1
103847,28840.63,1,0.1,24,11,0.27772232226255933,1
112750,39169.83,1,0.1,24,5,0.34740425720620843,1
58251,11903.17,1,0.351804643385343,60,11,0.20434275806423924,1
133481,40498.78,1,0.1,12,13,0.30340482915171446,1
142566,38452.84,1,0.1,12,17,0.2697195684805634,1
55945,10076.17,0,0.1,60,13,0.1801084994190723,0
120852,43940.46,1,0.1,12,19,0.36358901797239596,1
62217,21105.74,0,0.3337044356612678,36,6,0.33922786376713765,0
38308,11397.99,0,0.28996921901073425,36,9,0.29753550172287774,0
35949,12768.17,0,0.3430568107009332,36,4,0.3551745528387438,0
162222,58430.46,1,0.1,12,17,0.36018826053186376,1
130235,40699.6,1,0.1,12,14,0.31250892617192,1
104740,36774.63,1,0.1,12,15,0.3511039717395455,1
146352,45258.1,1,0.1,24,6,0.3092414179512408,1
96617,29375.65,1,0.1,60,18,0.3040422492936026,1
46896,13392.72,0,0.18322620592589822,36,7,0.28558341862845443,0
160798,52390.4,1,0.1,24,18,0.32581499769897637,1
168877,24923.13,1,0.13675824858757069,24,5,0.14758155343830126,1
35237,12835.47,0,0.1,36,13,0.3642611459545364,0
50056,18097.9,0,0.32978529493880304,60,11,0.3615530605721592,0
144548,15723.09,1,0.1,24,16,0.10877417881949249,1
141488,49201.75,1,0.1,24,5,0.3477450384484903,1
164415,22797.94,1,0.1,12,17,0.13866094942675547,1
174572,35007.91,1,0.1,12,18,0.2005356529111198,1
59375,19181.24,1,0.18230249705205218,60,14,0.32305246315789476,1
170734,25307.55,1,0.1,12,18,0.14822794522473554,1
46964,16220.9,1,0.20251029175326607,60,6,0.34539008602333704,1
143429,50148.55,1,0.18398625154337095,24,16,0.34964024011880446,1
97215,24521.54,1,0.1,60,14,0.25224029213598725,1
99042,10093.94,1,0.20769229123020175,60,9,0.10191575291290564,1
174356,32449.65,1,0.1,12,16,0.18611146160728625,1
123468,35198.02,1,0.1151334858097352,24,8,0.2850780769106165,1
39435,15551.42,0,0.12522463919409177,60,1,0.39435577532648664,0
108832,31511.66,1,0.1,24,6,0.28954406792119963,1
81293,14465.36,1,0.1,36,14,0.17794102813280357,1
108781,31568.43,1,0.1,24,13,0.29020168963329995,1
190196,49830.52,1,0.1,12,11,0.2619956255652064,1
73919,24685.52,0,0.2178497539955873,60,4,0.33395365197040006,0
196319,25932.6,1,0.1,12,17,0.13209419363383065,1
151172,49631.03,1,0.12330627423646473,24,11,0.3283083507527849,1
124758,32734.0,1,0.12453772394979365,24,5,0.2623799676173071,1
86573,33668.03,1,0.1,36,18,0.3888975777667402,1
89101,18048.45,1,0.1,60,16,0.202561699644224,1
56646,16415.25,0,0.1106307501289876,36,2,0.28978656921936236,0
134185,50937.76,1,0.1,24,8,0.3796084510191154,1
53049,6936.31,1,0.1999042638838893,60,6,0.1307528888386209,1
128116,48833.79,1,0.1,24,15,0.38116855037622155,1
127379,39024.56,1,0.1,24,18,0.3063657274747015,1
98385,11840.74,1,0.1,36,7,0.12035106977689689,1
156131,29710.02,1,0.11916023916243262,12,11,0.19028905214211145,1
53289,16650.23,1,0.30913913932787423,60,10,0.3124515378408302,1
140226,16855.89,1,0.1,12,12,0.12020516879893885,1
130793,35922.45,1,0.20392937754930374,12,6,0.2746511663468228,1
39823,8114.53,1,0.4014800068010025,60,12,0.2037649097255355,0
71975,20604.62,1,0.1,36,2,0.28627467870788464,0
39540,4496.59,0,0.16268997951722197,36,7,0.11372255943348508,0
46364,16758.78,0,0.2095256613687835,36,1,0.3614610473643344,0
165683,64955.47,1,0.14508232501346946,12,16,0.39204667950242333,1
57663,22526.82,1,0.33520177325692463,60,6,0.3906633369751834,1
81991,26638.51,1,0.1,60,18,0.32489553731507115,1
134182,18654.77,1,0.1,12,10,0.139025875303692,1
192049,62892.01,1,0.1,24,17,0.32747897671948306,1
